Name,Product Type,Internal Category, Machine Drawing No,Casting Drawing No,Size,Material,OD (mm) , L (mm) ,ID (mm) 
SPUR GEAR MLS-04/F25,Stockable Product,SPUR GEAR,122-04-M/R0,,,EN8,,,
PINION SHAFT ø 45x311L - EN19,Stockable Product,PINION SHAFT,316-03-M/R0,,ø 45x311L,EN19,45,311,
HEX BOLT M6x50L - C.S. Gr. 4.0,Stockable Product,HEX BOLT,,,M6x50L,C.S. Gr. 4.0,,,
HEX BOLT M6x15L - C.S. Gr. 4.0,Stockable Product,HEX BOLT,,,M6x15L,C.S. Gr. 4.0,,,
HEX BOLT M8x25L - C.S. Gr. 4.0,Stockable Product,HEX BOLT,,,M8x25L,C.S. Gr. 4.0,,,
INDICATOR ROD,Stockable Product,INDICATOR ROD,034-09-M/R0,,,M.S.,,,
PIPE HOOD FOR INDICATOR,Stockable Product,PIPE HOOD FOR INDICATOR,033-09-F/R0,,,M.S. FABRICATED,,,
PIPE HOOD FOR PINION SHAFT,Stockable Product,PIPE HOOD FOR PINION SHAFT,041-09-F/R0,,,M.S. FABRICATED,,,
SGB HOUSING MLS-05/F30,Stockable Product,SGB HOUSING,014-1-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SGB COVER MLS-05/F30,Stockable Product,SGB COVER,015-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SPUR GEAR MLS-05/F30,Stockable Product,SPUR GEAR,022-04-M/R0,,,S.G.I. IS1865 Gr. 500/7,,,
PINION SHAFT ø 50x168L - EN19,Stockable Product,PINION SHAFT,016-03-M/R0,,ø 50x168L,EN19,50,168,
HARD WASHER OD 140 x ID 120 x 7 THK,Stockable Product,HARD WASHER,009-10-M/R0,,OD 140 x ID 120 x 7 THK,ST.STEEL,140,7,120
HANDWHEEL ø 700mm,Stockable Product,HANDWHEEL,011-09-F/R0,,ø 700mm,M.S. FABRICATED,,,
BUSH ø 40x19L,Stockable Product,BUSH,039-07-M/R0,,ø 40x19L,BRASS,40,19,
BUSH ø 40x43L,Stockable Product,BUSH,040-07-M/R0,,ø 40x43L,BRASS,40,43,
THRUST RACES AS 3047,Stockable Product,THRUST RACES,,,AS 3047,STANDARD,,,
