Product,Bom Lines / Product Quantity,Bom Lines / Used For,Bom Lines / Product
,1,FOR 5 & 12,PARALLEL KEY 6x6x32
,1,FOR 3,INDICATOR PLATE ø 58mm
,1,FOR 12,INDICATOR PLATE ø 50 mm
,1,FOR 5 & 12,HEX BOLT M8x15L - C.S. Gr. 4.0
,1,FOR 12 & 16,WASHER ID 9 x OD 25 x 1 THK
SLM-14/F12 EO,1,,WGB HOUSING SLM-14/F12
,1,,WGB COVER SLM-14/F12
,1,,QUADRANT SLM-14/F12
,1,,WORM ø 40x57L - EN19
,1,,WORM SHAFT ø 20x258L - EN8
,2,,SPIRAL PIN ø 5x25L
,2,,BEARING AXK 2035+AS+AS
,2,,O RING ID 60mm x 3mm
,6,FOR 1 & 2,HEX BOLT M6x20L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M10x50L
,2,FOR 1 & 5,BUSH ø 30x13L
,1,FOR 5,PARALLEL KEY 6x6x20
,1,FOR 3,INDICATOR PLATE ø 58mm
SLM-27/F14,1,,WGB HOUSING SLM-27/F14
,1,,WGB COVER SLM-27/F14
,1,,QUADRANT SLM-27/F14
,1,,WORM ø 55x83L - EN19
,1,,WORM SHAFT ø 25x300L - EN8
,2,,SPACER ø 45x10L
,2,,SPIRAL PIN ø 8x40L
,2,,BEARING AXK 2542+AS+AS
,2,,O RING ID 77mm x 2mm
,1,,CIRCLIP ø 25mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,2,FOR 1 & 5,BUSH ø 35x21L
,1,,HANDWHEEL ø 300mm
,1,FOR 5 & 14,PARALLEL KEY 8x7x40
,1,FOR 5 & 14,HEX BOLT M8x15L - M.S
,1,FOR 14 & 16,WASHER ID 9 x OD 30 x 1 THK
,1,FOR 3,INDICATOR PLATE ø 75mm
,1,FOR 14,INDICATOR PLATE ø 50mm
SLM-27/F14 EO,1,,WGB HOUSING SLM-27/F14
,1,,WGB COVER SLM-27/F14
,1,,QUADRANT SLM-27/F14
,1,,WORM ø 55x83L - EN19
,1,,WORM SHAFT ø 25x303L - EN8
,2,,SPACER ø 45x10L
,2,,SPIRAL PIN ø 8x40L
,2,,BEARING AXK 2542+AS+AS
,2,,O RING ID 77mm x 2mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,2,FOR 1 & 5,BUSH ø 35x21L
,1,FOR 5,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 75mm
SLM-27/F12,1,,WGB HOUSING SLM-27/F12
,1,,WGB COVER SLM-27/F12
,1,,QUADRANT SLM-27/F12
,1,,WORM ø 55x83L - EN19
,1,,WORM SHAFT ø 25x300L - EN8
,2,,SPACER ø 45x10L
,2,,SPIRAL PIN ø 8x40L
,2,,BEARING AXK 2542+AS+AS
,2,,O RING ID 77mm x 2mm
,1,,CIRCLIP ø 25mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,2,FOR 1 & 5,BUSH ø 35x21L
,1,,HANDWHEEL ø 300mm
,1,FOR 5 & 14,PARALLEL KEY 8x7x40
,1,FOR 5 & 14,HEX BOLT M8x15L - M.S
,1,FOR 14 & 16,WASHER ID 9 x OD 30 x 1 THK
,1,FOR 3,INDICATOR PLATE ø 75mm
,1,FOR 14,INDICATOR PLATE ø 50mm
SLM-27/F12 EO,1,,WGB HOUSING SLM-27/F12
,1,,WGB COVER SLM-27/F12
,1,,QUADRANT SLM-27/F12
,1,,WORM ø 55x83L - EN19
,1,,WORM SHAFT ø 25x303L - EN8
,2,,SPACER ø 45x10L
,2,,SPIRAL PIN ø 8x40L
,2,,BEARING AXK 2542+AS+AS
,2,,O RING ID 77mm x 2mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,2,FOR 1 & 5,BUSH ø 35x21L
,1,FOR 5,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 75mm
SLM-37/F14,1,,WGB HOUSING SLM-37/F14
,1,,WGB COVER SLM-37/F14
,1,,QUADRANT SLM-37/F14
,1,,WORM ø 60x83L - EN19
,1,,WORM SHAFT ø 32x305L - EN8
,2,,SPACER ø 60x13L
,1,,HANDWHEEL ø 300mm
,2,FOR 1 & 5,BUSH ø 40x21L
,2,,SPIRAL PIN ø 8x40L
,2,,O RING ID 77mm x 2mm
,1,,CIRCLIP ø 25mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 5 & 7,HEX BOLT M8x15L - M.S
,1,FOR 7 & 14,WASHER ID 9 x OD 30 x 1 THK
,1,FOR 5 & 7,PARALLEL KEY 8x7x32
,1,FOR 3,INDICATOR PLATE ø 75mm
,1,FOR 7,INDICATOR PLATE ø 50mm
SLM-37/F14 EO,1,,WGB HOUSING SLM-37/F14
,1,,WGB COVER SLM-37/F14
,1,,QUADRANT SLM-37/F14
,1,,WORM ø 60x83L - EN19
,1,,WORM SHAFT ø 32x308L - EN8
,2,,SPACER ø 60x13L
,2,FOR 1 & 5,BUSH ø 40x21L
,2,,SPIRAL PIN ø 8x40L
,2,,O RING ID 77mm x 2mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 5 & 7,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 75mm
SLM-37A/F14,1,,WGB HOUSING SLM-37A/F14
,1,,WGB COVER SLM-37A/F14
,1,,QUADRANT SLM-37A/F14
,1,,WORM ø 60x83L - EN19
,1,,WORM SHAFT ø 32x224L - EN8
,2,,SPACER ø 60x13L
,1,MX-02,SGB HOUSING MX-02
,1,MX-02,SGB COVER MX-02
,1,MX-02,SPUR GEAR MX-02
,1,MX-02,PINION SHAFT ø 50x134L - EN19
,1,,HANDWHEEL ø 300mm
,2,FOR 1 & 5,BUSH ø 40x21L
,1,FOR 5 & 7,BUSH ø 40x21L
,1,FOR 7 & 10,BUSH ø 35x19L
,1,FOR 8 & 10,BUSH ø 35x23L
,2,,SPIRAL PIN ø 8x40L
,2,,O RING ID 77mm x 2mm
,2,,CIRCLIP ø 30mm
,1,,CIRCLIP ø 25mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,3,FOR 1 & 7,HEX BOLT M6x20L - H.T. Gr. 8.8
,2,FOR 7 & 8,HEX BOLT M8x25L - H.T. Gr. 8.8
,3,FOR 7 & 8,ALLEN BOLT M8x20L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 10 & 11,HEX BOLT M8x15L - M.S
,1,FOR 11 & 25,WASHER ID 9 x OD 30 x 1 THK
,1,FOR 5 & 9,PARALLEL KEY 8x7x32
,1,FOR 10 & 11,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 75mm
,1,FOR 11,INDICATOR PLATE ø 50mm
SLM-37A/F14 EO,1,,WGB HOUSING SLM-37A/F14
,1,,WGB COVER SLM-37A/F14
,1,,QUADRANT SLM-37A/F14
,1,,WORM ø 60x83L - EN19
,1,,WORM SHAFT ø 32x224L - EN8
,2,,SPACER ø 60x13L
,1,MX-02,SGB HOUSING MX-02
,1,MX-02,SGB COVER MX-02
,1,MX-02,SPUR GEAR MX-02
,1,MX-02,PINION SHAFT ø 50x209L - EN19
,2,FOR 1 & 5,BUSH ø 40x21L
,1,FOR 5 & 7,BUSH ø 40x21L
,1,FOR 7 & 10,BUSH ø 35x19L
,1,FOR 8 & 10,BUSH ø 35x19L
,2,,SPIRAL PIN ø 8x40L
,2,,O RING ID 77mm x 2mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,3,FOR 1 & 7,HEX BOLT M6x20L - H.T. Gr. 8.8
,3,FOR 7 & 8,ALLEN BOLT M8x20L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 5 & 9,PARALLEL KEY 8x7x32
,1,FOR 10,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 75mm
SLM-37/F16,1,,WGB HOUSING SLM-37/F16
,1,,WGB COVER SLM-37/F16
,1,,QUADRANT SLM-37/F16
,1,,WORM ø 60x83L - EN19
,1,,WORM SHAFT ø 32x305L - EN8
,2,,SPACER ø 60x13L
,1,,HANDWHEEL ø 300mm
,2,FOR 1 & 5,BUSH ø 40x21L
,2,,SPIRAL PIN ø 8x40L
,2,,O RING ID 77mm x 2mm
,1,,CIRCLIP ø 25mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 5 & 7,HEX BOLT M8x15L - M.S
,1,FOR 7 & 14,WASHER ID 9 x OD 30 x 1 THK
,1,FOR 5 & 7,PARALLEL KEY 8x7x32
,1,FOR 3,INDICATOR PLATE ø 75mm
,1,FOR 7,INDICATOR PLATE ø 50mm
SLM-37/F16 EO,1,,WGB HOUSING SLM-37/F16
,1,,WGB COVER SLM-37/F16
,1,,QUADRANT SLM-37/F16
,1,,WORM ø 60x83L - EN19
,1,,WORM SHAFT ø 32x320L - EN8
,2,,SPACER ø 60x13L
,2,FOR 1 & 5,BUSH ø 40x21L
,2,,SPIRAL PIN ø 8x40L
,2,,O RING ID 77mm x 2mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 5 & 7,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 75mm
SLM-37A/F16,1,,WGB HOUSING SLM-37A/F16
,1,,WGB COVER SLM-37A/F16
,1,,QUADRANT SLM-37A/F16
,1,,WORM ø 60x83L - EN19
,1,,WORM SHAFT ø 32x224L - EN8
,2,,SPACER ø 60x13L
,1,MX-02,SGB HOUSING MX-02
,1,MX-02,SGB COVER MX-02
,1,MX-02,SPUR GEAR MX-02
,1,MX-02,PINION SHAFT ø 50x134L - EN19
,1,,HANDWHEEL ø 300mm
,2,FOR 1 & 5,BUSH ø 40x21L
,1,FOR 5 & 7,BUSH ø 40x21L
,1,FOR 7 & 10,BUSH ø 35x19L
,1,FOR 8 & 10,BUSH ø 35x23L
,2,,SPIRAL PIN ø 8x40L
,2,,O RING ID 77mm x 2mm
,2,,CIRCLIP ø 30mm
,1,,CIRCLIP ø 25mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,3,FOR 1 & 7,HEX BOLT M6x20L - H.T. Gr. 8.8
,2,FOR 7 & 8,HEX BOLT M8x25L - H.T. Gr. 8.8
,3,FOR 7 & 8,ALLEN BOLT M8x20L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 10 & 11,HEX BOLT M8x15L - M.S
,1,FOR 11 & 25,WASHER ID 9 x OD 30 x 1 THK
,1,FOR 5 & 9,PARALLEL KEY 8x7x32
,1,FOR 10 & 11,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 75mm
,1,FOR 11,INDICATOR PLATE ø 50mm
SLM-37A/F16 EO,1,,WGB HOUSING SLM-37A/F16
,1,,WGB COVER SLM-37A/F16
,1,,QUADRANT SLM-37A/F16
,1,,WORM ø 60x83L - EN19
,1,,WORM SHAFT ø 32x224L - EN8
,2,,SPACER ø 60x13L
,1,MX-02,SGB HOUSING MX-02
,1,MX-02,SGB COVER MX-02
,1,MX-02,SPUR GEAR MX-02
,1,MX-02,PINION SHAFT ø 50x209L - EN19
,2,FOR 1 & 5,BUSH ø 40x21L
,1,FOR 5 & 7,BUSH ø 40x21L
,1,FOR 7 & 10,BUSH ø 35x19L
,1,FOR 8 & 10,BUSH ø 35x19L
,2,,SPIRAL PIN ø 8x40L
,2,,O RING ID 77mm x 2mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,3,FOR 1 & 7,HEX BOLT M6x20L - H.T. Gr. 8.8
,2,FOR 7 & 8,HEX BOLT M8x25L - H.T. Gr. 8.8
,3,FOR 7 & 8,ALLEN BOLT M8x20L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 5 & 9,PARALLEL KEY 8x7x32
,1,FOR 10,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 75mm
SLM-53/F16,1,,WGB HOUSING SLM-53/F16
,1,,WGB COVER SLM-53/F16
,1,,QUADRANT SLM-53/F16
,1,,WORM ø 60x83L - EN19
,1,,WORM SHAFT ø 32x258L - EN8
,2,,SPACER ø 45x12L
,1,SM-03,SGB HOUSING SM-03
,1,SM-03,SGB COVER SM-03
,1,SM-03,SPUR GEAR SM-03
,1,SM-03,PINION SHAFT ø 50x151L - EN19
,1,,HANDWHEEL ø 550mm
,2,FOR 1 & 5,BUSH ø 40x28L
,1,FOR 5 & 7,BUSH ø 40x18L
,1,FOR 7 & 10,BUSH ø 35x21L
,1,FOR 8 & 10,BUSH ø 35x37L
,2,,SPIRAL PIN ø 8x40L
,2,,BEARING AXK 4060+GS+WS
,2,,THRUST RACES AS 2542
,2,,O RING ID 102mm x 2mm
,2,,CIRCLIP ø 30mm
,1,,CIRCLIP ø 25mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,6,FOR 7 & 8,HEX BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 1 & 7,HEX BOLT M10x30L - H.T. Gr. 8.8
,4,FOR 7 & 8,HEX BOLT M8x50L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 10 & 11,HEX BOLT M8x15L - M.S
,1,FOR 5 & 9,PARALLEL KEY 8x7x28
,1,FOR 10 & 11,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 100mm
,1,FOR 11,INDICATOR PLATE ø 50mm
,1,FOR 11 & 27,WASHER ID 9 x OD 30 x 1 THK
SLM-53/F16 EO,1,,WGB HOUSING SLM-53/F16
,1,,WGB COVER SLM-53/F16
,1,,QUADRANT SLM-53/F16
,1,,WORM ø 60x83L - EN19
,1,,WORM SHAFT ø 32x258L - EN8
,2,,SPACER ø 45x12L
,1,SM-03,SGB HOUSING SM-03
,1,SM-03,SGB COVER SM-03
,1,SM-03,SPUR GEAR SM-03
,1,SM-03,PINION SHAFT ø 50x232L - EN19
,2,FOR 1 & 5,BUSH ø 40x28L
,1,FOR 5 & 7,BUSH ø 40x18L
,1,FOR 7 & 10,BUSH ø 35x21L
,1,FOR 8 & 10,BUSH ø 35x37L
,2,,SPIRAL PIN ø 8x40L
,2,,BEARING AXK 4060+GS+WS
,2,,THRUST RACES AS 2542
,2,,O RING ID 102mm x 2mm
,2,,CIRCLIP ø 30mm
,8,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,6,FOR 7 & 8,HEX BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 1 & 7,HEX BOLT M10x35L - H.T. Gr. 8.8
,3,FOR 7 & 8,ALLEN BOLT M8x35L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 5 & 9,PARALLEL KEY 8x7x28
,1,FOR 10,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 100mm
SLM-66/F16,1,,WGB HOUSING SLM-66/F16
,1,,WGB COVER SLM-66/F16
,1,,QUADRANT SLM-66/F16
,1,,WORM ø 70x75L - EN19
,1,,WORM SHAFT ø 32x275L - EN8
,2,,COLLAR ø 65x21L
,1,SM-05,SGB HOUSING SM-05
,1,SM-05,SGB COVER SM-05
,1,SM-05,SPUR GEAR SM-05
,1,SM-05,PINION SHAFT ø 40x151L - EN19
,1,,HANDWHEEL ø 550mm
,2,FOR 1 & 5,BUSH ø 40x28L
,1,FOR 5 & 7,BUSH ø 40x18L
,1,FOR 7 & 10,BUSH ø 35x21L
,1,FOR 8 & 10,BUSH ø 35x37L
,2,,SPIRAL PIN ø 8x40L
,2,,BEARING AXK 4060+GS+WS
,2,,THRUST RACES AS 2542
,2,,O RING ID 105mm x 3mm
,2,,CIRCLIP ø 30mm
,1,,CIRCLIP ø 25mm
,8,FOR 1 & 2,HEX BOLT M10x30L - H.T. Gr. 8.8
,6,FOR 7 & 8,HEX BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 1 & 7,HEX BOLT M10x30L - H.T. Gr. 8.8
,4,FOR 7 & 8,HEX BOLT M8x50L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 10 & 11,HEX BOLT M8x15L - M.S
,1,FOR 5 & 9,PARALLEL KEY 8x7x28
,1,FOR 10 & 11,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 100mm
,1,FOR 11,INDICATOR PLATE ø 50mm
,1,FOR 11 & 27,WASHER ID 9 x OD 30 x 1 THK
SLM-66/F16 EO,1,,WGB HOUSING SLM-66/F16
,1,,WGB COVER SLM-66/F16
,1,,QUADRANT SLM-66/F16
,1,,WORM ø 70x75L - EN19
,1,,WORM SHAFT ø 32x275L - EN8
,2,,COLLAR ø 65x21L
,1,SM-05,SGB HOUSING SM-05
,1,SM-05,SGB COVER SM-05
,1,SM-05,SPUR GEAR SM-05
,1,SM-05,PINION SHAFT ø 40x232L - EN19
,2,FOR 1 & 5,BUSH ø 40x28L
,1,FOR 5 & 7,BUSH ø 40x18L
,1,FOR 7 & 10,BUSH ø 35x21L
,1,FOR 8 & 10,BUSH ø 35x37L
,2,,SPIRAL PIN ø 8x40L
,2,,BEARING AXK 4060+GS+WS
,2,,THRUST RACES AS 2542
,2,,O RING ID 105mm x 3mm
,2,,CIRCLIP ø 30mm
,8,FOR 1 & 2,HEX BOLT M10x30L - H.T. Gr. 8.8
,6,FOR 7 & 8,HEX BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 1 & 7,HEX BOLT M10x30L - H.T. Gr. 8.8
,3,FOR 7 & 8,ALLEN BOLT M8x35L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 5 & 9,PARALLEL KEY 8x7x28
,1,FOR 10,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 100mm
SLM-66/F25,1,,WGB HOUSING SLM-66/F25
,1,,WGB COVER SLM-66/F25
,1,,QUADRANT SLM-66/F25
,1,,WORM ø 70x75L - EN19
,1,,WORM SHAFT ø 32x305L - EN8
,2,,COLLAR ø 65x21L
,1,SM-05,SGB HOUSING SM-05
,1,SM-05,SGB COVER SM-05
,1,SM-05,SPUR GEAR SM-05
,1,SM-05,PINION SHAFT ø 40x151L - EN19
,1,,HANDWHEEL ø 550mm
,2,FOR 1 & 5,BUSH ø 40x28L
,1,FOR 5 & 7,BUSH ø 40x18L
,1,FOR 7 & 10,BUSH ø 35x21L
,1,FOR 8 & 10,BUSH ø 35x37L
,2,,SPIRAL PIN ø 8x40L
,2,,BEARING AXK 4060+GS+WS
,2,,THRUST RACES AS 2542
,2,,O RING ID 105mm x 3mm
,2,,CIRCLIP ø 30mm
,1,,CIRCLIP ø 25mm
,8,FOR 1 & 2,HEX BOLT M10x30L - H.T. Gr. 8.8
,6,FOR 7 & 8,HEX BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 1 & 7,HEX BOLT M10x30L - H.T. Gr. 8.8
,4,FOR 7 & 8,HEX BOLT M8x50L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 10 & 11,HEX BOLT M8x15L - M.S
,1,FOR 5 & 9,PARALLEL KEY 8x7x28
,1,FOR 10 & 11,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 100mm
,1,FOR 11,INDICATOR PLATE ø 50mm
,1,FOR 11 & 27,WASHER ID 9 x OD 30 x 1 THK
SLM-66/F25 EO,1,,WGB HOUSING SLM-66/F25
,1,,WGB COVER SLM-66/F25
,1,,QUADRANT SLM-66/F25
,1,,WORM ø 70x75L - EN19
,1,,WORM SHAFT ø 32x305L - EN8
,2,,COLLAR ø 65x21L
,1,SM-05,SGB HOUSING SM-05
,1,SM-05,SGB COVER SM-05
,1,SM-05,SPUR GEAR SM-05
,1,SM-05,PINION SHAFT ø 40x232L - EN19
,2,FOR 1 & 5,BUSH ø 40x28L
,1,FOR 5 & 7,BUSH ø 40x18L
,1,FOR 7 & 10,BUSH ø 35x21L
,1,FOR 8 & 10,BUSH ø 35x33L
,2,,SPIRAL PIN ø 8x40L
,2,,BEARING AXK 4060+GS+WS
,2,,THRUST RACES AS 2542
,2,,O RING ID 105mm x 3mm
,2,,CIRCLIP ø 30mm
,8,FOR 1 & 2,HEX BOLT M10x30L - H.T. Gr. 8.8
,6,FOR 7 & 8,HEX BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 1 & 7,HEX BOLT M10x30L - H.T. Gr. 8.8
,3,FOR 7 & 8,ALLEN BOLT M8x35L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 5 & 9,PARALLEL KEY 8x7x28
,1,FOR 10,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 100mm
SLT-115/F25,1,,WGB HOUSING SLT-115/F25
,1,,WGB COVER SLT-115/F25
,1,,QUADRANT SLT-115/F25
,1,,WORM ø 75x73L - EN19
,1,,WORM SHAFT ø 40x323L - EN8
,2,,COLLAR ø 70x47L
,1,SM-05,SGB HOUSING SM-05
,1,SM-05,SGB COVER SM-05
,1,SM-05,SPUR GEAR SM-05
,1,SM-05,PINION SHAFT ø 40x151L - EN19
,1,,HANDWHEEL ø 550mm
,2,FOR 1 & 5,BUSH ø 45x33L
,1,FOR 5 & 7,BUSH ø 45x18L
,1,FOR 7 & 10,BUSH ø 35x21L
,1,FOR 8 & 10,BUSH ø 35x37L
,2,,SPIRAL PIN ø 8x55L
,2,,BEARING AXK 4565+GS+WS
,2,,THRUST RACES AS 2542
,2,,O RING ID 140mm x 3mm
,1,,CIRCLIP ø 35mm
,1,,CIRCLIP ø 25mm
,8,FOR 1 & 2,HEX BOLT M10x30L - H.T. Gr. 8.8
,6,FOR 7 & 8,HEX BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 1 & 7,HEX BOLT M10x30L - H.T. Gr. 8.8
,4,FOR 7 & 8,HEX BOLT M8x50L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x100L
,1,FOR 10 & 11,HEX BOLT M8x15L - M.S
,1,FOR 5 & 9,PARALLEL KEY 10x8x28
,1,FOR 10 & 11,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 135mm
,1,FOR 11,INDICATOR PLATE ø 50mm
,1,FOR 11 & 27,WASHER ID 9 x OD 30 x 1 THK
SLT-115/F25 EO,1,,WGB HOUSING SLT-115/F25
,1,,WGB COVER SLT-115/F25
,1,,QUADRANT SLT-115/F25
,1,,WORM ø 75x73L - EN19
,1,,WORM SHAFT ø 40x323L - EN8
,2,,COLLAR ø 70x47L
,1,SM-05,SGB HOUSING SM-05
,1,SM-05,SGB COVER SM-05
,1,SM-05,SPUR GEAR SM-05
,1,SM-05,PINION SHAFT ø 40x232L - EN19
,2,FOR 1 & 5,BUSH ø 45x33L
,1,FOR 5 & 7,BUSH ø 45x18L
,1,FOR 7 & 10,BUSH ø 35x21L
,1,FOR 8 & 10,BUSH ø 35x33L
,2,,SPIRAL PIN ø 8x55L
,2,,BEARING AXK 4565+GS+WS
,2,,THRUST RACES AS 2542
,2,,O RING ID 140mm x 3mm
,1,,CIRCLIP ø 35mm
,8,FOR 1 & 2,HEX BOLT M10x30L - H.T. Gr. 8.8
,6,FOR 7 & 8,HEX BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 1 & 7,HEX BOLT M10x30L - H.T. Gr. 8.8
,3,FOR 7 & 8,ALLEN BOLT M8x35L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x100L
,1,FOR 5 & 9,PARALLEL KEY 10x8x28
,1,FOR 10,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 135mm
SLT-125/F25,1,,WGB HOUSING SLT-125/F25
,1,,WGB COVER SLT-125/F25
,1,,QUADRANT SLT-125/F25
,1,,WORM ø 95x83L - EN19
,1,,WORM SHAFT ø 45x342L - EN8
,2,,SPACER ø 65x15L
,1,DC-09,SGB HOUSING DC-09
,1,DC-09,SGB COVER DC-09
,1,"I ,DC-09",SPUR GEAR-I DC-09
,1,"II,DC-09",SPUR GEAR-II DC-09
,1,"I, DC-09",PINION SHAFT ø 55x163L - EN19
,1,"II,DC-09",PINION SHAFT ø 55x143L - EN19
,1,,HANDWHEEL ø 550mm
,1,FOR 5 & 7,BUSH ø 50x23L
,1,FOR 7 & 12,BUSH ø 40x27L
,1,FOR 8  & 12,BUSH ø 40x24L
,1,FOR 8 & 11,BUSH ø 35x27L
,2,,"SPIRAL PIN ø 1/2""x70L"
,2,,BEARING AXK 6085+GS+WS
,1,,BEARING AXK 2542+AS+AS
,2,,NEEDLE ROLLER CAGE KT 404527
,1,,NEEDLE ROLLER CAGE KT 253017
,1,,THRUST RACES AS 2542
,1,,THRUST RACES AS 3047
,2,,O RING ID 145mm x 4mm
,1,,CIRCLIP ø 38mm
,1,,CIRCLIP ø 25mm
,12,FOR 1 & 2,HEX BOLT M8x25L - H.T. Gr. 8.8
,8,FOR 7 & 8,HEX BOLT M8x35L - H.T. Gr. 8.8
,2,,GRUB SCREW M16x12L
,2,,EYE BOLT M16x45L
,4,FOR 1 & 7,ALLEN BOLT M12x45L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M14x70L
,1,FOR 11 & 14,HEX BOLT M8x15L - M.S
,1,FOR 5 & 10,PARALLEL KEY 10x8x40
,1,FOR 9 & 13,PARALLEL KEY 8x7x25
,1,FOR 11 & 13,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 140mm
,1,FOR 14,INDICATOR PLATE ø 50mm
,1,FOR 13 & 34,WASHER ID 9 x OD 30 x 1 THK
SLT-125/F25 EO,1,,WGB HOUSING SLT-125/F25
,1,,WGB COVER SLT-125/F25
,1,,QUADRANT SLT-125/F25
,1,,WORM ø 95x83L - EN19
,1,,WORM SHAFT ø 45x342L - EN8
,2,,SPACER ø 65x15L
,1,DC-09,SGB HOUSING DC-09
,1,DC-09,SGB COVER DC-09
,1,"I ,DC-09",SPUR GEAR-I DC-09
,1,"II,DC-09",SPUR GEAR-II DC-09
,1,"I, DC-09",PINION SHAFT ø 55x213L - EN19
,1,"II,DC-09",PINION SHAFT ø 55x143L - EN19
,1,FOR 5 & 7,BUSH ø 50x23L
,1,FOR 7 & 12,BUSH ø 40x27L
,1,FOR 8  & 12,BUSH ø 40x24L
,1,FOR 8 & 11,BUSH ø 35x27L
,2,,"SPIRAL PIN ø 1/2""x70L"
,2,,BEARING AXK 6085+GS+WS
,1,,BEARING AXK 2542+AS+AS
,2,,NEEDLE ROLLER CAGE KT 404527
,1,,NEEDLE ROLLER CAGE KT 253017
,1,,THRUST RACES AS 2542
,1,,THRUST RACES AS 3047
